INFO-2024-06-09 18:33:20,348-Initiating WorkFlow...
INFO-2024-06-09 18:33:24,350-Domain service for authentication is Outlook
INFO-2024-06-09 18:33:25,885-Running MS graph rest services to authenticate user
INFO-2024-06-09 18:33:27,340-Running Display user code for Outlook authentication
INFO-2024-06-09 18:34:23,941-Getting google scholar email from user mailbox
ERROR-2024-06-09 18:34:24,193-An error occurred: cannot unpack non-iterable NoneType object
INFO-2024-06-09 18:35:10,843-Initiating WorkFlow...
INFO-2024-06-09 18:35:10,843-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 18:35:12,677-Data from database is acquired.
INFO-2024-06-09 18:35:12,677-Initiating clustering workflow.
ERROR-2024-06-09 18:35:12,697-Could not run clustering workflow. Exception  'KMeans++'
INFO-2024-06-09 18:44:25,985-Initiating WorkFlow...
INFO-2024-06-09 18:44:29,991-Domain service for authentication is Outlook
INFO-2024-06-09 18:44:30,005-Running MS graph rest services to authenticate user
INFO-2024-06-09 18:47:12,600-Initiating WorkFlow...
INFO-2024-06-09 18:47:16,606-Domain service for authentication is Outlook
INFO-2024-06-09 18:47:16,609-Running MS graph rest services to authenticate user
INFO-2024-06-09 18:47:46,110-Initiating WorkFlow...
INFO-2024-06-09 18:47:46,111-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 18:47:47,124-Data from database is acquired.
INFO-2024-06-09 18:47:47,124-Initiating clustering workflow.
ERROR-2024-06-09 18:47:47,143-Could not run clustering workflow. Exception  'KMeans++'
INFO-2024-06-09 18:49:20,784-Getting google scholar email from user mailbox
ERROR-2024-06-09 18:49:22,022-An error occurred: main thread is not in main loop
INFO-2024-06-09 18:51:29,229-Initiating WorkFlow...
INFO-2024-06-09 18:51:33,237-Domain service for authentication is Outlook
INFO-2024-06-09 18:51:33,244-Running MS graph rest services to authenticate user
ERROR-2024-06-09 18:51:33,896-Could not run the rest service workflow to connect to Outlook. Exception : 'PublicClientApplication' object has no attribute 'update_info_text'
ERROR-2024-06-09 18:51:33,899-An error occurred: cannot unpack non-iterable NoneType object
INFO-2024-06-09 18:51:46,609-Initiating WorkFlow...
INFO-2024-06-09 18:51:46,609-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 18:51:46,635-Data from database is acquired.
INFO-2024-06-09 18:51:46,636-Initiating clustering workflow.
ERROR-2024-06-09 18:51:46,643-Could not run clustering workflow. Exception  'KMeans++'
INFO-2024-06-09 18:54:19,942-Initiating WorkFlow...
INFO-2024-06-09 18:54:23,953-Domain service for authentication is Outlook
INFO-2024-06-09 18:54:23,961-Running MS graph rest services to authenticate user
INFO-2024-06-09 18:55:12,151-Getting google scholar email from user mailbox
ERROR-2024-06-09 18:55:12,379-An error occurred: cannot unpack non-iterable NoneType object
INFO-2024-06-09 18:59:56,688-Initiating WorkFlow...
INFO-2024-06-09 18:59:56,688-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 18:59:57,900-Data from database is acquired.
INFO-2024-06-09 18:59:57,900-Initiating clustering workflow.
ERROR-2024-06-09 18:59:57,920-Could not run clustering workflow. Exception  'KMeans++'
INFO-2024-06-09 19:00:33,768-Initiating WorkFlow...
INFO-2024-06-09 19:00:37,779-Domain service for authentication is Outlook
INFO-2024-06-09 19:00:37,785-Running MS graph rest services to authenticate user
INFO-2024-06-09 19:01:13,885-Getting google scholar email from user mailbox
ERROR-2024-06-09 19:01:14,617-An error occurred: cannot unpack non-iterable NoneType object
INFO-2024-06-09 19:01:46,567-Initiating WorkFlow...
INFO-2024-06-09 19:01:46,568-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 19:01:47,948-Data from database is acquired.
INFO-2024-06-09 19:01:47,948-Initiating clustering workflow.
INFO-2024-06-09 19:51:23,052-Initiating WorkFlow...
INFO-2024-06-09 19:51:27,067-Domain service for authentication is Outlook
INFO-2024-06-09 19:51:27,083-Running MS graph rest services to authenticate user
INFO-2024-06-09 19:52:19,540-Getting google scholar email from user mailbox
INFO-2024-06-09 19:52:37,116-Auth workflow complete. Messages from Google scholar received
INFO-2024-06-09 19:52:37,151-Initiating Meta data extraction from email messages
INFO-2024-06-09 19:53:00,054-Articles MetaData Extraction workflow complete.
INFO-2024-06-09 19:53:01,089-Initiating call to the database table : articles for checks.
INFO-2024-06-09 19:53:27,693-Running the crossref rest service workflow
INFO-2024-06-09 19:53:47,198-Data Retrieval from CrossRef is complete.
INFO-2024-06-09 19:53:48,231-Combining references with other meta data
ERROR-2024-06-09 19:53:48,233-Could not combine references. Exception  cannot set a frame with no defined index and a scalar
ERROR-2024-06-09 19:53:48,233-resultant_articles returned from _combine_references_with_other_metadata is not a dataframe
INFO-2024-06-09 19:54:28,752-Initiating WorkFlow...
INFO-2024-06-09 19:54:28,752-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 19:54:29,044-Data from database is acquired.
INFO-2024-06-09 19:54:29,044-Initiating clustering workflow.
INFO-2024-06-09 20:38:05,104-Initiating WorkFlow...
INFO-2024-06-09 20:38:05,105-Domain service for authentication is Outlook
INFO-2024-06-09 20:38:05,144-Running MS graph rest services to authenticate user
INFO-2024-06-09 20:38:45,780-Getting google scholar email from user mailbox
INFO-2024-06-09 20:38:58,302-Auth workflow complete. Messages from Google scholar received
INFO-2024-06-09 20:38:58,322-Initiating Meta data extraction from email messages
INFO-2024-06-09 20:39:19,824-Articles MetaData Extraction workflow complete.
INFO-2024-06-09 20:39:19,833-Initiating call to the database table : articles for checks.
INFO-2024-06-09 20:39:21,129-Initiating call to the database table : articles
INFO-2024-06-09 20:39:45,301-Initiating call to the database table : articles
INFO-2024-06-09 20:39:45,315-Phase 1 complete.
INFO-2024-06-09 20:39:53,782-Initiating WorkFlow...
INFO-2024-06-09 20:39:53,783-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 20:39:53,929-Data from database is acquired.
INFO-2024-06-09 20:39:53,930-Initiating clustering workflow.
ERROR-2024-06-09 20:40:41,532-Could not run clustering workflow. Exception  'KMeans++'
INFO-2024-06-09 20:48:08,997-Initiating WorkFlow...
INFO-2024-06-09 20:48:08,999-Domain service for authentication is Outlook
INFO-2024-06-09 20:48:09,047-Running MS graph rest services to authenticate user
INFO-2024-06-09 20:48:46,343-Getting google scholar email from user mailbox
INFO-2024-06-09 20:48:59,333-Auth workflow complete. Messages from Google scholar received
INFO-2024-06-09 20:48:59,353-Initiating Meta data extraction from email messages
INFO-2024-06-09 20:49:19,875-Articles MetaData Extraction workflow complete.
INFO-2024-06-09 20:49:19,892-Initiating call to the database table : articles for checks.
INFO-2024-06-09 20:49:21,064-Initiating call to the database table : articles
INFO-2024-06-09 20:55:32,033-Initiating call to the database table : articles
INFO-2024-06-09 20:55:32,044-Phase 1 complete.
INFO-2024-06-09 20:55:36,736-Initiating WorkFlow...
INFO-2024-06-09 20:55:36,736-Initiating call to the database table : articles for retrieving data.
INFO-2024-06-09 20:55:37,001-Data from database is acquired.
INFO-2024-06-09 20:55:37,002-Initiating clustering workflow.
INFO-2024-06-09 20:56:33,069-Clustering Workflow is complete.
